QI_REFID,purchase_info_id,protein_quality,moisture_quality,ash_quality,wet_gluten_quality,dry_gluten_quality,sv_quality,hl_quality,kernel_quality,mm_quality,foreign_matter_quality,mudballs_quality,broken_wheat_quality,black_wheat_quality,soft_wheat_quality,shriveled_wheat_quality,immature_wheat_quality,insect_damage_wheat_quality,mixed_wheat_quality,kernel_bunt_quality,ofg_quality,infestation_quality,fungus_quality,rain_damage_quality,protein_type_quality,fn_quality,others_comment,overall_result,degrade,deduction_amount,wheat_variety,qc_work_doc,fungus_quality_noofbag,fungus_quality_quarantine,recommended_lot,rain_damage_quality_noofbag,rain_damage_quality_quarantine,red_grain_quality,PI_REFID,ZVA_NUMBER,ZPO_NUMBER,ZVENDOR_CODE,ZVENDOR_NAME,ZSUPPLIER_CODE,ZSUPPLIER_NAME,ZQTY,MEINS,IDNLF,MATNR,SGT_SCAT,NETPR,WERKS,LGORT,TRUCK_NO,DRIVER_NO,VECHICAL_STATUS,WAIT_IN_TM,GAT_IN_TM,INCO1,DEVICE_TYPE,PO_BAG_TYPE,SCREEN_TYPE,VEHICLE_TYPE,QA_STATUS,ZDATE,ZTIME,PO_LINE_ITEM,MIGO_NUM,GO_REFID,GO_purchase_info_id,GO_bag_type,GO_no_bags,GO_wb_empty_wt,GO_wb_net_wt,GO_gunny_wt,GO_gunny_less_wt,GO_supplier_wb_dt,GO_supplier_wb_qty,GO_invoice_rate,GO_invoice_no,GO_invoice_date,GO_invoice_qty,GO_supp_inv_copy,GO_supp_wb_copy,GO_naga_os_wb_copy,GO_wb_name,GO_wb_serial_no,GO_wb_load_wt,GO_is_own_wb,GO_wb_ticket_no,GO_unload_lot,pp_REF_ID,pp_ZVA_NUMBER,pp_ZPO_NUMBER,pp_ZPO_LINE_ITEM,pp_ZDATE,pp_ZTIME,pp_ZVENDOR_CODE,pp_ZVENDOR_NAME,pp_ZSUPPLIER_CODE,pp_ZSUPPLIER_NAME,pp_ZQTY,pp_MEINS,pp_IDNLF,pp_MATNR,pp_SGT_SCAT,pp_NETPR,pp_WERKS,pp_LGORT,pp_ZTRUCK_CONTAINER_NUMBER,pp_ZVENDOR_INVOICE,pp_ZDEDUCTION_AMOUNT,pp_isupdate,GO_bag_type(2),GO_no_bags(2),GO_bag_type(3),GO_no_bags(3),CONTAINER_NO,protein_quality(2),moisture_quality(2),ash_quality(2),wet_gluten_quality(2),dry_gluten_quality(2),sv_quality(2),hl_quality(2),kernel_quality(2),mm_quality(2),foreign_matter_quality(2),mudballs_quality(2),broken_wheat_quality(2),black_wheat_quality(2),soft_wheat_quality(2),shriveled_wheat_quality(2),immature_wheat_quality(2),insect_damage_wheat_quality(2),mixed_wheat_quality(2),kernel_bunt_quality(2),ofg_quality(2),infestation_quality(2),fungus_quality(2),rain_damage_quality(2),protein_type_quality(2),fn_quality
2033,4556,10,7,2,40,,,100,1,1.5,1,1,10,1.9,11,10,10,.15,YES,.2,1,NO,NO,NO,LP,, FOR  DEDUCTION ,A,1,,SHARBATI,/Digigate/Digi/NLFD/upload/2800000326_Purchase_ProWB-20211005121351.pdf,,,5000,,,5,4556,RMSDOR142100000058,2800000326,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,51675,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,17750.00,8118,AC01,TW01W1010,7531594560,7,, 2021-10-05  12:10:19 ,OW1,NIR_YES,L1,SDO,Truck,A,2021-10-05,12:29:57,00010,,2815,4556,N1,2000,15000,55000,3325,51675,2021-10-05,50000,95.22,123546798,2021-10-05,70000,/Digigate/Digi/NLFD/upload/4556_Purchase_ProWB-20211005122639.pdf,/Digigate/Digi/NLFD/upload/4556_Purchase_ProWB-20211005122639.pdf,/DIGIGATE/DIGI/NLFD/UPLOAD/2800000326_PURCHASE_PROWB-20211005122957.PDF,THIAGU01010,7894562,70000,2,,LO124,2519,RMSDOR142100000058,2800000326,00010,2021-10-05,12:29:57,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,51.675,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,17750.00,8118,AC01,TW01W1010,123546798,,0,N1,1500,N1,1500,,,,,,,,,,,,,,,,,,,,,,,,,,
2043,4573,10,10,1,30,,,90,100,1,1,0,1.5,1.5,11,10,10,.15,NO,2,1,NO,NO,NO,LP,, FOR  DEDUCTION ,A,1,,AHW,/Digigate/Purchasepro/2021/October/06/SDO/2800000198_Testing_sample_WB_copy-20211006172619.pdf,,,LO105,,,5,4573,RMSDOR142100000065,2800000198,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,1,TON,GUJARAT-RAJKOT-TUKUDI,WHR-T,RGURKRKST02,18450.00,8118,AC01,TNQ1000,1234567890,7,, 2021-10-06  17:10:36 ,OW1,NIR_YES,N1,SDO,Truck,A,2021-10-06,17:45:00,00030,,2823,4573,N1,150,400.,300,299.25,0.75,2021-10-06,700,10.5,123456789,2021-10-06,300,/Digigate/Purchasepro/2021/October/06/UL/4573_Purchase_Pro.pdf1-20211006174022.pdf,/Digigate/Purchasepro/2021/October/06/UL/4573_Purchase_Pro-20211006174022.pdf,/DIGIGATE/PURCHASEPRO/2021/OCTOBER/06/SDO/2800000198_PURCHASE_PRO.PDF1-20211006174500.PDF,SHOLAE,123456789,700,2,,UNL105(++),2520,RMSDOR142100000065,2800000198,00030,2021-10-06,17:45:00,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0.001,TON,GUJARAT-RAJKOT-TUKUDI,WHR-T,RGURKRKST02,18450.00,8118,AC01,TNQ1000,123456789,,0,N1,150,N1,150,,,,,,,,,,,,,,,,,,,,,,,,,,
2046,4617,1,1,1,1,,,1,11,1,1,1,1,1,1,1,1,1,NO,1,1,NO,NO,NO,LP,,,A,2,,,/Digigate/Purchasepro/2021/October/07/SDO/RMSDOR142100000075_Purchase_Pro3-20211007105215.pdf,,,L1,,,1,4617,RMSDOR142100000075,2800000325,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,8978,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN67BN9877,7708111324,7,, 2021-10-07  10:50:57 ,OW1,NIR_YES,L1,SDO,Truck,A,2021-10-07,10:54:32,00010,,2827,4617,N2,10,1000,9000,22.425,8977.575,2021-10-06,20000,5.5,21244,2021-10-06,20000,/Digigate/Purchasepro/2021/October/07/SDO/RMSDOR142100000075_Purchase_Pro3-20211007105401.pdf,/Digigate/Purchasepro/2021/October/07/SDO/RMSDOR142100000075_tesst-20211007105401.pdf,/DIGIGATE/PURCHASEPRO/2021/OCTOBER/07/SDO/RMSDOR142100000075_PURCHASE_PRO3-20211007105431.PDF,1,1,10000,2,,F4,2521,RMSDOR142100000075,2800000325,00010,2021-10-07,10:54:32,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,8.978,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN67BN9877,21244,,0,N1,25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4629,RMSDTW022100000177,2800000021,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,217362, SONU  TRADING  COMPANY-ACBPG7699 ,9900,TON,RAJASTHAN-BUNDI-MQ3,WHR-M,RRJKOBUSM03,20600,1121,RH03,TN56BD3441,7708111326,7,, 2021-10-08  09:49:43 ,RDG,,N1,SDI,Rake,,2021-10-08,09:52:35,20,,2834,4629,N1,133,0,10000,100.145,9899.855,,,,,,,,,,,,10000,1,15,L1,2522,RMSDTW022100000177,2800000021,20,2021-10-08,09:52:35,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,217362, SONU  TRADING  COMPANY-ACBPG7699 ,9.900,TON,RAJASTHAN-BUNDI-MQ3,WHR-M,RRJKOBUSM03,20600,1121,RH03,TN56BD3441,,,0,N3,13,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2053,4630,,1,,,,,1,,,1,1,1,1,1,1,1,1,,1,1,NO,NO,NO,,,,A,2,,,/Digigate/Purchasepro/2021/October/08/SDO/RMSDOR142100000076_Purchase_Pro3-20211008095921.pdf,,,L1,,,1,4630,RMSDOR142100000076,2800000320,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,9885,TON, GUJARAT-RAJKOT-TUKUDI  1 ,WHR-T,RGURKRKST07,18700.00,8118,AC01,TN65756,7708111325,7,, 2021-10-08  09:56:36 ,OW1,SURVEYOR,L1,SDO,Truck,A,2021-10-08,10:01:42,00010,,2835,4630,N1,12,100,9900,14.94,9885.06,2021-10-07,12000,12.2,L1,2021-10-08,70000,/Digigate/Purchasepro/2021/October/08/SDO/RMSDOR142100000076_Purchase_Pro-20211008100023.pdf,/Digigate/Purchasepro/2021/October/08/SDO/RMSDOR142100000076_12-20211008100023.pdf,/DIGIGATE/PURCHASEPRO/2021/OCTOBER/08/SDO/RMSDOR142100000076_PURCHASE_PRO_GO-20211008100142.PDF,1,1,10000,2,16,L1,2523,RMSDOR142100000076,2800000320,00010,2021-10-08,10:01:42,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,9.885,TON, GUJARAT-RAJKOT-TUKUDI  1 ,WHR-T,RGURKRKST07,18700.00,8118,AC01,TN65756,L1,,0,N2,12,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2058,4639,,1,,,,,1,,,1,1,1,1,1,1,1,1,,1,1,NO,NO,NO,,,,AD,1,100,MQ1,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000079_Purchase_Pro.pdf1-20211009100816.pdf,,,L1,,,1,4639,RMSDOR142100000079,2800000320,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,4994,TON, GUJARAT-RAJKOT-TUKUDI  1 ,WHR-T,RGURKRKST07,18700.00,8118,AC01,TN57BK4556,7708111324,7,, 2021-10-09  10:07:29 ,OW1,SURVEYOR,L1,SDO,Truck,A,2021-10-09,10:11:27,00010,,2839,4639,N2,10,5000,5000,5.8,4994.2,2021-10-09,10000,19.2,12,2021-10-08,70000,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000079_Purchase_Pro.pdf.1.-20211009101015.pdf,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000079_m1-20211009101015.pdf,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000079_Purchase_Pro._-20211009101127.pdf,12,12,10000,2,,1,2524,RMSDOR142100000079,2800000320,00010,2021-10-09,10:11:27,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,4.994,TON, GUJARAT-RAJKOT-TUKUDI  1 ,WHR-T,RGURKRKST07,18700.00,8118,AC01,TN57BK4556,12,100,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,4640,1,1,1,1,,,1,1,1,1,11,1,1,1,1,1,11,NO,1,1,YES,YES,NO,HP,,,A,2,,,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000080_Purchase_Pro-20211009101604.pdf,1,1,L1,,,1,4640,RMSDOR142100000080,2800000325,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,8979,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN56NL3444,7708111327,7,, 2021-10-09  10:15:17 ,OW1,NIR_YES,L1,SDO,Truck,A,2021-10-09,10:20:07,00010,,2840,4640,N2,13,1000,9000,21.04,8978.96,2021-10-08,10000,10,12,2021-10-06,8000,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000080_SAMPLE_PDF-20211009101917.pdf,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000080_Purchase_Pro-20211009101917.pdf,/Digigate/Purchasepro/2021/October/09/SDO/RMSDOR142100000080_Purchase_Pro.pdf.1.-20211009102007.pdf,123,123,10000,2,,L1,2525,RMSDOR142100000080,2800000325,00010,2021-10-09,10:20:07,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,8.979,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN56NL3444,12,,0,N3,15,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,4649,,1,,,,,1,,,1,1,1,1,1,0,1,1,,1,1,YES,YES,YES,,,,A,1,,LOK1,/Digigate/Purchasepro/2021/October/11/SDO/Quality_Check/RMSDOR142100000084_Purchase_Pro3-20211011095145.pdf,12,L2,1,21,L1,1,4649,RMSDOR142100000084,2800000326,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,4988,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,17750.00,8118,AC01,TN56BL7667,7708111326,7,, 2021-10-11  09:47:14 ,OW1,SURVEYOR,L1,SDO,Truck,A,2021-10-11,10:07:13,00010,,2845,4649,N1,10,5000,5000,12.45,4987.55,2021-10-04,10000,19.2,123123,2021-10-11,1,/Digigate/Purchasepro/2021/October/11/SDO/Unloading_WH_Incharge/RMSDOR142100000084_tesst-20211011100621.pdf,/Digigate/Purchasepro/2021/October/11/SDO/Unloading_WH_Incharge/RMSDOR142100000084_Purchase_Pro3-20211011100621.pdf,/Digigate/Purchasepro/2021/October/11/SDO/Unloading/RMSDOR142100000084_Purchase_Pro3-20211011100713.pdf,L1,S1,10000,2,,L1,2526,RMSDOR142100000084,2800000326,00010,2021-10-11,10:07:13,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,4.988,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,17750.00,8118,AC01,TN56BL7667,123123,,0,N2,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4661,RMSDTSIL2100001144,2800000021,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,217362, SONU  TRADING  COMPANY-ACBPG7699 ,8942,TON,RAJASTHAN-BUNDI-MQ3,WHR-M,RRJKOBUSM03,20600,1111,FH01,TN67BD7888,7708111326,7,, 2021-10-11  17:44:15 ,RDG,,N1,SDI,Rake,,2021-10-11,17:45:24,10,,2848,4661,N2,100,1000,9000,58,8942,,,,,,,,,/Digigate/Purchasepro/2021/October/11/SDI/Unloading/RMSDTSIL2100001144_Purchase_Pro3.-20211011174523.pdf,123,123,10000,2,,L1,2527,RMSDTSIL2100001144,2800000021,10,2021-10-11,17:45:24,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,217362, SONU  TRADING  COMPANY-ACBPG7699 ,8.942,TON,RAJASTHAN-BUNDI-MQ3,WHR-M,RRJKOBUSM03,20600,1111,FH01,TN67BD7888,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,4321,6,7,7,7,,,7,7,7,7,7,7,7,7,7,7,7,NO,7,7,NO,NO,NO,HP,,FGHFGH,A,1,,AHW,UPLOAD/2021/SEPTEMBER/11/SDO/2800000141_TESTING_SAMPLE_WB_COPY-20210911101056.PDF,,,456456,,,7,4321,RMSDOR142100000016,2800000141,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,41078,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,21750.00,8118,AC01,TR56789,8796541230,7,, 2021-09-11  09:44:48 ,OY1,NIR_YES,N1,SDO,Truck,A,2021-10-13,13:02:36,00010,,2849,4321,N2,5,45645,41081,2.9,41078.1,2021-10-13,77345,77,777345,2021-10-13,56000,/Digigate/Purchasepro/2021/October/13/MA/QCApproval/2800000141_SAMPLE_PDF-20211013130657.pdf,/Digigate/Purchasepro/2021/October/13/SDO/Unloading_WH_Incharge/RMSDOR142100000016_SAMPLE_PDF-20211013122158.pdf,/Digigate/Purchasepro/2021/October/13/SDO/Unloading/RMSDOR142100000016_Testing_sample_WB_copy-20211013130236.pdf,456456,456456,45645,2,,66,2529,RMSDOR142100000016,2800000141,00010,2021-10-13,13:02:36,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,41.078,TON,GUJARAT-RAJKOT-496,WHR-T,RGURKRKST03,21750.00,8118,AC01,TR56789,777345,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4714,RMSDTSIL2100001150,2800000021,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,217362, SONU  TRADING  COMPANY-ACBPG7699 ,4992,TON,RAJASTHAN-BUNDI-MQ3,WHR-M,RRJKOBUSM03,20600,1111,FH01,TN57BD4543,7708111326,7,, 2021-10-22  08:24:18 ,RDG,,N1,SDI,Rake,,2021-10-22,08:27:35,10,,2861,4714,N1,12,10000,5000,7.98,4992.02,,,,,,,,,,,,15000,1,61,L1,2531,RMSDTSIL2100001150,2800000021,10,2021-10-22,08:27:35,210422, SUBASH  COMMERCIAL  CO(WH  BROKER ,217362, SONU  TRADING  COMPANY-ACBPG7699 ,4.992,TON,RAJASTHAN-BUNDI-MQ3,WHR-M,RRJKOBUSM03,20600,1111,FH01,TN57BD4543,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2125,4719,,9,,,,,1,1,1,1,1,1,1,1,1,1,1,,1,1,YES,NO,NO,,,,A,2,,,,,,L1,,,1,4719,RMSDOR142100000095,2800000325,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,9980,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN57BL4999,7708111326,7,, 2021-10-22  14:34:37 ,OW1,NIRNO,L1,SDO,Truck,A,2021-10-22,14:40:47,00010,,2864,4719,N2,13,20000,10000,20.14,9979.86,2021-10-21,10000,2.2,199,2021-10-21,10000,/Digigate/Purchasepro/2021/October/22/SDO/Unloading_WH_Incharge/RMSDOR142100000095_Purchase_Pro1-20211022143943.pdf,/Digigate/Purchasepro/2021/October/22/SDO/Unloading_WH_Incharge/RMSDOR142100000095_Purchase_Pro3-20211022143943.pdf,/Digigate/Purchasepro/2021/October/22/SDO/Unloading/RMSDOR142100000095_Purchase_Pro1333-20211022144047.pdf,12,12,30000,2,,L1,2532,RMSDOR142100000095,2800000325,00010,2021-10-22,14:40:47,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,0000221461, PRABHUDAS  JAMNADAS  &  CO-AACFP5 ,9.980,TON,GUJARAT-RAJKOT-MQ2,WHR-M,RGURKRKSM02,17250.00,8118,AC01,TN57BL4999,199,,0,N3,14,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
